naAromAtom,nAtom,nN,nO,nS,nF,nCl,BCUTw-1h,BCUTp-1l,BCUTp-1h,nBondsD,SpMax1_Bhs,SpMax2_Bhs,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C3SP3,C4SP3,SCH-7,SC-3,VC-3,SPC-4,MIC0,nAtomLAC,piPC6,R_TpiPCTPC,n5Ring,n6Ring,nFRing,nF9Ring,nF10Ring,nFG12Ring,nHeteroRing,n6HeteroRing,VE3_D,VR1_D,class_label
0,84,4,7,1,0,0,31.97207297,4.87923084,11.07940987,5,4.996036993,4.974974717,0,3,2,0,11,2,0,0.0,3.5968822019999998,2.004599968,5.043787473,16.90391546,4,4.465908119,1.38190184,0,0,0,0,0,0,1,0,-7.427555923,4800.684199,active
0,84,4,8,0,0,0,16.00198328,4.720735203,10.21955819,5,4.996187547,4.974978307,0,3,2,0,11,2,0,0.0,3.5968822019999998,2.004599968,5.043787473,14.86004416,4,4.465908119,1.38190184,0,0,0,0,0,0,1,0,-7.427555923,4800.684199,inactive
0,86,4,8,0,0,0,16.00198328,4.718098416,10.19846454,4,5.081510785,5.061678616,0,3,0,0,11,2,0,0.0,3.5968822019999998,2.004599968,5.043787473,14.71515888,4,4.3694478519999995,1.196319018,0,0,0,0,0,0,1,0,-7.427555923,4800.684199,inactive
0,85,4,5,0,0,0,15.99895757,4.421356796,10.72513167,4,4.954544725,4.9349099039999995,0,4,0,0,9,3,0,0.0,3.078237515,1.876759905,5.5391308210000005,13.478144,8,4.234106505,1.216,0,0,0,0,0,0,0,0,-7.125862025,379.6423764,active
0,82,4,5,0,0,0,15.9989563,4.382060028,10.64653435,4,4.9864905980000005,4.965200748,0,4,0,0,9,3,0,0.0,2.9722917669999998,1.76911952,4.784265413,13.63789047,8,4.127134385,1.221748401,0,0,0,0,0,0,0,0,-8.733659559,372.4404528,active
0,69,4,4,2,0,0,31.97307405,5.073109754,11.50811676,4,5.062026847,5.046299465,0,3,2,0,8,1,0,0.0,1.816582489,0.8663499240000001,4.259888018,18.62453404,4,4.219507705,1.379518072,0,0,0,0,0,0,1,0,-4.49317864,597.0373909,inactive
0,67,3,4,2,0,0,31.97307394,5.0725175039999995,11.49108462,4,5.04291726,5.028065486,0,3,2,0,8,1,0,0.0,1.633853103,0.761742012,3.523191546,18.29964776,4,4.143134726,1.38641189,0,0,0,0,0,0,1,0,-4.633396758,371.30777889999996,inactive
0,67,3,4,2,0,0,31.97307394,5.0725175039999995,11.49108462,4,5.04291726,5.028065486,0,3,2,0,8,1,0,0.0,1.633853103,0.761742012,3.523191546,18.29964776,4,4.143134726,1.38641189,0,0,0,0,0,0,1,0,-4.633396758,371.30777889999996,inactive
0,82,4,5,2,0,0,31.97307458,4.490247527,11.51202744,4,5.137085952,5.118509976,0,4,0,0,9,1,0,0.0,2.1557951859999998,0.9526229390000001,4.3561130630000005,17.83146757,4,4.262679877,1.1966101690000002,0,0,0,0,0,0,1,0,-5.63713401,594.4095507999999,inactive
0,79,4,5,2,0,0,31.97307448,4.488830812,11.50069137,4,5.129844972,5.111151228,0,4,0,0,9,1,0,0.0,2.1557951859999998,0.9526229390000001,4.3561130630000005,18.11543094,4,4.248495242,1.200345423,0,0,0,0,0,0,1,0,-5.426183418,543.7671767,inactive
0,76,4,5,2,0,0,31.97307438,4.489122083,11.50301937,4,5.1220123410000005,5.103190115,0,4,0,0,9,1,0,0.0,2.1557951859999998,0.9526229390000001,4.3561130630000005,18.41621366,4,4.234106505,1.2042253520000001,0,0,0,0,0,0,1,0,-5.147297198,726.5237754,inactive
6,90,4,6,2,0,0,31.97307521,4.8951493280000005,11.61489521,4,4.940887215,4.91886278,0,3,4,2,11,2,0,0.11785113,4.005130493,2.240302229,5.909812876,17.69078896,4,5.133590118,2.068020951,0,1,2,0,0,2,0,0,-7.138310519,812.0953792,inactive
0,92,4,6,2,0,0,31.97307501,4.882675344,11.51509548,4,5.097671433,5.078196746000001,0,3,0,0,11,2,0,0.0,3.5968822019999998,2.004599968,5.043787473,17.43850808,4,4.394449155,1.189910979,0,0,0,0,0,0,1,0,-7.714364487999999,854.6398132999999,inactive
0,89,4,6,2,0,0,31.97307491,4.881258691,11.50375942,4,5.089805883,5.070213928,0,3,0,0,11,2,0,0.0,3.5968822019999998,2.004599968,5.043787473,17.68208866,4,4.382026635,1.19306184,0,0,0,0,0,0,1,0,-7.5992290460000005,1318.7423390000001,inactive
0,86,4,6,2,0,0,31.97307481,4.881549963,11.50608743,4,5.081380333,5.061661571,0,3,0,0,11,2,0,0.0,3.5968822019999998,2.004599968,5.043787473,17.93845139,4,4.3694478519999995,1.196319018,0,0,0,0,0,0,1,0,-7.427555923,4800.684199,inactive
22,73,4,1,0,0,0,15.99492476,4.790286793,11.38181035,1,4.70300429,4.033325616,0,1,17,5,6,0,0,0.535190438,1.681408029,0.852004392,4.54702913,11.33676343,5,6.713525601000001,8.555962751000001,0,5,1,0,1,0,1,1,-3.607533299,1490.826585,active
22,68,3,3,0,0,0,15.99694273,4.387683249,11.37711216,2,4.650077959,4.647522246,0,2,17,5,7,0,0,0.535190438,1.970083164,0.910929957,4.891333503999999,12.67910555,2,6.717162107,8.509562087,0,5,1,0,1,0,1,1,-4.8169737989999994,1163.881095,active
22,63,3,2,0,0,0,15.99593233,4.147374557,11.36722782,1,4.653235029,4.064208211,0,1,17,5,6,0,0,0.535190438,1.681408029,0.852004392,4.54702913,12.15825185,2,6.707435216,8.927028462,0,5,1,0,1,0,1,1,-8.738758296,399.6510924,active
22,56,3,1,0,0,0,15.99492297,5.7575514320000005,11.30460461,1,4.615332341,4.0043565789999995,0,1,17,5,4,0,0,0.487077915,1.477283884,0.693890509,4.114016428,11.43896588,0,6.690182122,9.636209024,0,5,1,0,1,0,1,1,-11.23505593,280.4024957,active
16,53,3,2,0,0,0,78.91833752,4.147333797,11.35642932,1,4.717138051,4.118060886,0,1,13,3,6,0,0,0.505022544,1.636749831,1.01266456,3.996636985,21.45989341,2,6.28692876,6.6272880039999995,0,4,1,0,1,0,1,1,-6.096350796,373.5171777,active
16,45,2,2,0,0,0,78.91833748,5.7513543579999995,11.25508674,1,4.6720169,4.006730524,0,1,13,3,4,0,0,0.456910022,1.432625685,0.854550677,3.5636242830000002,22.306745499999998,0,6.26053703,7.281040654,0,4,1,0,1,0,1,1,-13.88525973,231.93832700000002,inactive
12,58,3,6,1,0,0,31.972072600000004,4.7458073039999995,11.70812383,4,4.969183719,4.656160831,0,2,9,3,1,0,0,0.23570226,3.116469027,1.18142012,5.822744294,18.62537373,3,5.934067134,4.282688285,0,2,0,0,0,0,0,0,-4.938117841,309.7049534,inactive
12,83,4,4,1,0,0,31.97267878,5.189896479,11.74352347,4,5.12281588,4.8007041919999995,0,2,8,4,5,1,0,0.24453107300000002,3.728841463,1.7839525569999999,6.394918214,15.63769055,4,5.950479779,3.574129239,0,2,3,0,0,3,1,0,-5.085203579,777.8106448,active
12,82,5,6,1,0,0,31.97207311,5.189137092,11.75078218,5,5.098028098,4.786554514,0,3,9,3,7,1,0,0.23570226,3.927086244,1.7506560480000002,6.991846272,17.20786372,4,6.0630582,3.64537925,0,2,3,0,0,3,1,0,-4.87893696,786.3812671000001,active
17,62,4,3,0,0,1,34.96885412,3.97313169,11.76777344,2,4.710655932,4.112512035,0,1,14,2,5,0,0,0.538336234,1.728174395,0.724462748,3.897086622,17.16923602,3,6.74033465,13.90822207,1,2,0,0,0,0,1,0,-7.97585074,3089.324567,active
11,66,4,2,0,0,0,15.99593183,3.973716819,12.72390515,2,4.978659648,4.335613161,0,1,9,1,3,3,1,1.001320587,2.3561954259999998,1.584738296,4.895369975,12.72741116,3,6.404918492999999,5.086391881,1,1,7,0,0,0,1,0,-2.3346549690000002,369.3387414,active
