"","naAromAtom","nAtom","nN","nO","nS","nF","BCUTw.1h","BCUTp.1l","nBondsD","SpMax1_Bhs","SpMax2_Bhs","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C4SP3","SCH.7","VC.3","SPC.4","MIC0","nAtomLAC","piPC6","R_TpiPCTPC","n5Ring","n6Ring","nF9Ring","nF10Ring","nFG12Ring","n6HeteroRing","VE3_D","VR1_D","class_label"
"2452",23,50,6,1,0,0,15.99492348,4.827669278,1,4.110780105,4.003176224,0,2,12,4,1,0,1.074429748,0.932964008,5.578169715,13.66246278,0,6.856692221,10.44244109,2,3,0,0,0,1,-5.422389125,334.2247074,1
"2453",12,42,2,2,0,0,15.99592572,4.886342114,1,4.036971552,3.879369036,0,1,9,3,3,0,0.382821511,0.935079393,3.798361325,13.07460577,0,6.132584263,9.843835449,0,3,0,0,0,1,-5.622902358,211.0430651,1
"2454",18,51,3,2,0,0,15.99592928,4.815002239,1,4.046508049,3.937544862,0,3,11,4,0,0,0.695275084,0.861647578,4.908450059,13.03721848,0,6.490581263,8.991881762,1,3,0,0,0,1,-6.714306097,312.080563,1
"2455",12,42,2,1,1,0,31.97207208,4.894712645,1,4.030528434,3.836374238,0,1,9,3,2,0,0.382821511,1.23811001,3.798361325,15.88755167,0,6.132584263,9.843835449,0,3,0,0,0,1,-5.622902358,211.0430651,1
"2456",12,36,4,0,1,0,31.97207198,6.044610083,1,4.067154563,3.857569964,0,3,4,3,2,0,0.334708988,1.170068628,3.353674568,16.36276264,0,5.99746215,9.634956692,0,3,0,0,0,2,-5.105711778,175.2411689,1
"2457",23,49,5,1,1,0,31.9720725,4.844049027,1,4.076894115,3.98721922,0,4,11,4,1,0,1.074429748,1.178985623,5.578169715,16.88152913,0,6.856692221,10.44244109,2,3,0,0,0,1,-5.422389125,334.2247074,1
"2458",11,41,6,2,0,5,34.96885404,3.523841818,2,5.393325252,5.390515691,0,3,6,0,2,0,0.732898026,1.226219929,8.008949791,27.57585505,0,5.916033585,4.634110046,1,2,0,0,0,2,-4.597568655,376.0508381,1
"2459",12,48,7,3,0,5,19.00291923,3.036454392,2,5.415449702,5.413634777,0,5,5,0,4,0,0.539199137,1.134579823,7.724620871,23.02529734,2,6.021023349,4.743938578,0,3,0,0,0,3,-3.815456885,354.0041923,1
"2460",12,40,5,2,0,3,34.97015716,4.801966309,2,5.288203273,5.066673543,0,3,8,0,2,0,0.559127996,1.311649943,7.400210284,28.45939015,0,5.932576697,4.878973105,0,3,0,0,0,3,-4.289409687,910.1556102,1
"2461",12,43,5,2,0,6,34.96885414,3.590768055,2,5.556387238,5.353739078,0,3,7,1,3,0,0.525107306,1.340141359,8.872572451,27.16191484,0,6.058538913,4.810448578,0,3,0,0,0,3,-4.931234007,296.8493938,1
