bioactivity_class,molecule_chembl_id,canonical_smiles,standard_value,Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,OWPC
active,CHEMBL566638,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1OC1CCCC1,70.0,456.5460000000004,1.0,6.0,4.108900000000002
active,CHEMBL566223,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1F,50.0,390.4180000000002,1.0,5.0,2.9266000000000005
active,CHEMBL565996,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1Cl,36.0,406.87300000000016,1.0,5.0,3.440900000000001
active,CHEMBL585289,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C(F)(F)F,40.0,440.4250000000002,1.0,5.0,3.806300000000002
active,CHEMBL568114,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C#N,150.0,397.4380000000002,1.0,6.0,2.65918
active,CHEMBL584917,CN1C(=O)C(c2cccc(-c3cccnc3)c2)(c2ccc3c(c2)OCCO3)N=C1N,90.0,400.4380000000002,1.0,6.0,2.5500999999999996
active,CHEMBL566012,COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cc1C,30.0,387.4430000000002,1.0,6.0,2.49092
active,CHEMBL585506,CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(c2ccc(F)c(-c3cncnc3)c2)N=C1N,40.0,445.3760000000001,1.0,6.0,3.2116000000000016
active,CHEMBL584694,COc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1,160.0,353.46600000000007,1.0,4.0,2.893600000000001
active,CHEMBL585128,COc1ccc([C@]2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1,70.0,353.46600000000007,1.0,4.0,2.893600000000001
active,CHEMBL565790,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C1CCCC1,120.0,440.54700000000037,1.0,5.0,4.445100000000003
active,CHEMBL584926,COc1ccc(C2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc1C,40.0,422.4350000000002,1.0,5.0,3.3741200000000022
min effect,CHEMBL566007,CN1C(=O)C(c2ccccc2)(c2ccc(Cl)cc2)N=C1N,2250.0,299.761,1.0,3.0,2.3703
active,CHEMBL566407,CCCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC,50.0,430.5080000000002,1.0,6.0,3.5763000000000016
active,CHEMBL571320,COc1ccc([C@]2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1C,170.0,367.4930000000001,1.0,4.0,3.202020000000002
active,CHEMBL567485,COc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1OC,270.0,383.49200000000013,1.0,5.0,2.9022000000000014
active,CHEMBL566403,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1OC,90.0,402.45400000000024,1.0,6.0,2.796100000000001
active,CHEMBL567061,CCCCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC,50.0,444.5350000000002,1.0,6.0,3.966400000000003
active,CHEMBL567687,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1OC(C)C,60.0,430.50800000000027,1.0,6.0,3.5747000000000018
min effect,CHEMBL585952,CN1C(=O)C(c2ccccc2)(C23CC4CC(CC(C4)C2)C3)N=C1N,1530.0,323.44000000000005,1.0,3.0,2.8850000000000007
active,CHEMBL566198,CCOc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1,330.0,367.49300000000005,1.0,4.0,3.2837000000000014
active,CHEMBL584284,COc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1C,270.0,367.4930000000001,1.0,4.0,3.202020000000002
active,CHEMBL566633,CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(c2cc(F)cc(-c3cncnc3)c2)N=C1N,320.0,445.3760000000001,1.0,6.0,3.2116000000000016
active,CHEMBL565378,COc1ccc(C2(c3ccc(C#N)c(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C,630.0,411.4650000000002,1.0,6.0,2.967600000000001
active,CHEMBL567259,COc1ncccc1-c1cccc(C2(c3ccc(OC(F)(F)F)cc3)N=C(N)N(C)C2=O)c1,520.0,456.4240000000001,1.0,6.0,3.6861000000000015
min effect,CHEMBL566404,CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cncnc3)c2F)N=C1N,1360.0,445.3760000000001,1.0,6.0,3.2116000000000007
active,CHEMBL583899,CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(C23CC4CC(CC(C4)C2)C3)N=C1N,470.0,407.43600000000026,1.0,4.0,3.7836000000000016
active,CHEMBL565995,COc1ccc(C2(c3ccc(C)c(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C,130.0,400.4820000000002,1.0,5.0,3.4043400000000013
active,CHEMBL585286,CCCCOc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1,870.0,395.54700000000014,1.0,4.0,4.063900000000002
active,CHEMBL566212,COc1ccc(-c2cccc(C3(c4ccc(OC(F)(F)F)cc4)N=C(N)N(C)C3=O)c2)cn1,900.0,456.4240000000001,1.0,6.0,3.6861000000000015
active,CHEMBL584695,COc1ccc([C@]2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc1C,560.0,422.4350000000002,1.0,5.0,3.3741200000000022
min effect,CHEMBL291784,CN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1N,3440.0,265.31600000000003,1.0,3.0,1.7168999999999999
min effect,CHEMBL578410,CN1C(=O)C(c2ccccc2)(c2cccc(Cl)c2)N=C1N,2500.0,299.761,1.0,3.0,2.3703
min effect,CHEMBL576628,COc1cccc(C2(c3ccccc3)N=C(N)N(C)C2=O)c1,3470.0,295.34200000000004,1.0,4.0,1.7254999999999998
min effect,CHEMBL577905,COc1ccc(C2(c3ccccc3)N=C(N)N(C)C2=O)cc1,3100.0,295.34200000000004,1.0,4.0,1.7254999999999998
inactive,CHEMBL585120,COc1ccc([C@@]2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1C,45000.0,367.4930000000001,1.0,4.0,3.202020000000002
active,CHEMBL584109,CCc1cc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)ccc1OC,280.0,381.5200000000001,1.0,4.0,3.4560000000000013
active,CHEMBL566414,CN1C(=O)C(c2cccc(-c3cccnc3)c2)(c2ccc3c(c2)CCO3)N=C1N,120.0,384.4390000000002,1.0,5.0,2.7138
active,CHEMBL566415,CN1C(=O)C(c2cccc(-c3cccnc3)c2)(c2ccc3c(c2)OCO3)N=C1N,250.0,386.4110000000002,1.0,6.0,2.5076
active,CHEMBL567258,CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)N=C1N,60.0,444.3880000000001,1.0,5.0,3.816600000000002
min effect,CHEMBL566632,CN1C(=O)[C@](c2ccc(OC(F)(F)F)cc2)(c2ccc(F)c(-c3cncnc3)c2)N=C1N,1390.0,445.3760000000001,1.0,6.0,3.2116000000000016
active,CHEMBL78946,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,1.6,893.0050000000001,12.0,12.0,-1.736100000000004
inactive,CHEMBL582044,NC1=NC(c2ccccc2)(c2ccccc2)C2=NCCCN12,38000.0,290.37000000000006,1.0,4.0,2.3627000000000002
inactive,CHEMBL582044,NC1=NC(c2ccccc2)(c2ccccc2)C2=NCCCN12,27000.0,290.37000000000006,1.0,4.0,2.3627000000000002
inactive,CHEMBL567341,CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(C#N)nc21,63095.73,300.27200000000005,1.0,6.0,2.73968
inactive,CHEMBL567893,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](OC(=O)[C@@H](OC(=O)[C@H](C(C)C)N(C)C)C(C)C)C(C)C)[C@@H](C)O,10000.0,1174.4449999999988,8.0,17.0,0.48519999999999347
active,CHEMBL494186,COc1ccc(C(Cc2cc([N+](=O)[O-])ccc2OC)c2cn(C)c(N)n2)cc1,470.0,382.42000000000013,1.0,7.0,3.3023000000000016
min effect,CHEMBL567718,COc1ccc(C(Cc2ccc(C(F)(F)F)cc2)c2cn(C)c(N)n2)cc1,1800.0,375.39400000000006,1.0,4.0,4.404300000000004
min effect,CHEMBL3659643,COc1ccc2c(c1)CCC2(Cc1cc([N+](=O)[O-])ccc1OC)c1cn(C)c(N)n1,3200.0,408.45800000000014,1.0,7.0,3.402700000000001
active,CHEMBL3707021,COc1ccc2c(c1)CCC2(Cc1ccc(C(F)(F)F)cc1)c1cn(C)c(N)n1,350.0,401.4320000000001,1.0,4.0,4.504700000000003
active,CHEMBL3707022,COc1ccc2c(c1F)CCC2(Cc1ccc(C(F)(F)F)cc1)c1cn(C)c(N)n1,63.0,419.4220000000001,1.0,4.0,4.643800000000004
min effect,CHEMBL566809,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCNCC1,4700.0,473.6080000000003,4.0,4.0,3.5389000000000017
min effect,CHEMBL572048,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCOC1,2400.0,470.5200000000002,3.0,6.0,2.4640000000000004
active,CHEMBL572313,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCCOC1,270.0,484.54700000000025,3.0,6.0,2.8541000000000007
active,CHEMBL572081,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCCCC1,59.0,482.5750000000003,3.0,5.0,4.007800000000003
active,CHEMBL570556,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCOCC1,61.0,474.5920000000003,3.0,4.0,3.965900000000003
active,CHEMBL571833,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCC1,220.0,458.5930000000003,3.0,3.0,4.729500000000004
active,CHEMBL571860,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCCC1,47.0,472.62000000000035,3.0,3.0,5.119600000000005
active,CHEMBL584936,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCN(C(N)=O)CC1,380.0,516.6330000000003,4.0,4.0,3.330000000000001
active,CHEMBL570298,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCNC(=O)C1,18.0,487.5910000000003,4.0,4.0,3.065500000000001
active,CHEMBL570298,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCNC(=O)C1,19.0,487.5910000000003,4.0,4.0,3.065500000000001
inactive,CHEMBL565297,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCNC1,10000.0,473.6080000000003,4.0,4.0,3.5389000000000017
active,CHEMBL572082,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCN(O)C1,400.0,489.6070000000003,4.0,5.0,3.640500000000002
active,CHEMBL570165,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCN(C(=O)OCc2ccccc2)C1,860.0,607.7420000000002,3.0,5.0,5.588100000000005
min effect,CHEMBL584121,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCN(C(C)=O)C1,1300.0,515.6450000000003,3.0,4.0,3.7978000000000023
active,CHEMBL570519,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCN(C(N)=O)C1,330.0,516.6330000000003,4.0,4.0,3.330000000000001
active,CHEMBL566810,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCC(=O)NC1,47.0,487.5910000000003,4.0,4.0,3.065500000000001
active,CHEMBL566826,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCC(=O)CC1,120.0,486.60300000000035,3.0,4.0,4.298600000000003
min effect,CHEMBL569390,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@]1(c2cccc(C(C)(C)C)c2)CC[C@H](O)CC1,9200.0,488.6190000000003,4.0,4.0,4.090400000000003
active,CHEMBL570745,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@]1(c2cccc(C(C)(C)C)c2)CC[C@@H](O)CC1,24.0,488.6190000000003,4.0,4.0,4.090400000000003
active,CHEMBL569609,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@]1(c2cccc(C(C)(C)C)c2)CC[C@@H](CO)CC1,38.0,502.64600000000036,4.0,4.0,4.338000000000004
inactive,CHEMBL583136,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@]1(c2cccc(C(C)(C)C)c2)CC[C@@H](CCO)CC1,10000.0,516.6730000000003,4.0,4.0,4.728100000000005
active,CHEMBL584547,C=C1CCC(NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CN1,48.0,485.6190000000002,4.0,4.0,4.052600000000003
active,CHEMBL584731,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](C)NC1,49.0,487.6350000000003,4.0,4.0,3.9274000000000022
active,CHEMBL569608,CS[C@H]1CC[C@@](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CN1,24.0,519.7020000000003,4.0,5.0,4.228000000000003
active,CHEMBL570762,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](C(F)(F)F)NC1,33.0,541.6050000000001,4.0,4.0,4.469800000000003
active,CHEMBL571419,CO[C@H]1CC[C@@](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CN1,140.0,503.63400000000024,4.0,5.0,3.511400000000002
active,CHEMBL572290,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](C#N)NC1,380.0,498.6180000000003,4.0,5.0,3.4310800000000015
active,CHEMBL567026,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](S(C)(=O)=O)NC1,210.0,551.7000000000002,4.0,6.0,2.9096
active,CHEMBL566603,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC/C(=N/O)NC1,8.8,502.6060000000003,5.0,5.0,3.326600000000001
active,CHEMBL583034,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](NO)NC1,19.0,504.62200000000024,6.0,6.0,2.8438
active,CHEMBL570982,CON[C@H]1CC[C@@](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CN1,100.0,518.6490000000003,5.0,6.0,3.016000000000001
active,CHEMBL571432,COC(=O)N[C@H]1CC[C@@](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CN1,240.0,546.6590000000002,5.0,6.0,3.221000000000001
active,CHEMBL572047,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](NC=O)NC1,210.0,516.6330000000002,5.0,5.0,2.6109999999999998
active,CHEMBL583546,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](NS(C)(=O)=O)NC1,400.0,566.7150000000001,5.0,6.0,2.4142
active,CHEMBL565337,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](N(O)C(C)=O)NC1,240.0,546.6590000000002,5.0,6.0,3.1027000000000005
active,CHEMBL583688,CC(=O)N[C@H]1CC[C@@](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CN1,350.0,530.6600000000002,5.0,5.0,3.001100000000001
active,CHEMBL571433,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](Nc2ccccn2)NC1,73.0,565.7090000000002,5.0,6.0,4.372100000000002
active,CHEMBL582817,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](Nc2cccs2)NC1,85.0,570.7500000000001,5.0,6.0,5.038600000000003
active,CHEMBL565550,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](Nc2cccnc2)NC1,500.0,565.7090000000002,5.0,6.0,4.372100000000002
active,CHEMBL609987,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCc2n[nH]cc2C1,12.0,510.6290000000003,4.0,4.0,4.067500000000003
active,CHEMBL609988,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCc2nc(N)ncc2C1,14.0,537.6550000000002,4.0,6.0,3.7166000000000015
active,CHEMBL1163020,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCc2nc(C)ncc2C1,93.0,536.6670000000003,3.0,5.0,4.442820000000004
inactive,CHEMBL582044,NC1=NC(c2ccccc2)(c2ccccc2)C2=NCCCN12,38000.0,290.37000000000006,1.0,4.0,2.3627000000000002
min effect,CHEMBL291784,CN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1N,3400.0,265.31600000000003,1.0,3.0,1.7168999999999999
active,CHEMBL599965,CN1C(=O)C(c2ccccc2)(C2CCCCC2)N=C1N,990.0,271.3639999999999,1.0,3.0,2.2489
min effect,CHEMBL589163,CN1C(=O)C(C2CCCCC2)(C2CCCCC2)N=C1N,1080.0,277.412,1.0,3.0,2.6725000000000003
min effect,CHEMBL217068,N=C(N)NC(=O)Cn1c(-c2ccccc2)ccc1-c1ccccc1,3700.0,318.38000000000005,3.0,3.0,2.8317700000000015
active,CHEMBL252189,N=C(N)NC(=O)Cn1c(-c2ccccc2)ccc1-c1ccc(NC(=O)c2cccc(Br)c2)cc1,600.0,516.3990000000002,4.0,4.0,4.846570000000003
active,CHEMBL590829,CN1C(=O)C(c2cccc(NC(=O)c3ccco3)c2)(C2CCCCC2)N=C1N,100.0,380.44800000000026,2.0,5.0,3.0942000000000007
active,CHEMBL590830,Cc1ccoc1C(=O)Nc1cccc(C2(C3CCCCC3)N=C(N)N(C)C2=O)c1,40.0,394.4750000000002,2.0,5.0,3.4026200000000015
active,CHEMBL591070,CN1C(=O)C(c2cccc(NC(=O)c3cccn3C)c2)(C2CCCCC2)N=C1N,860.0,393.49100000000027,2.0,5.0,2.8397000000000006
min effect,CHEMBL595302,CCCC(=O)Nc1cccc(C2(C3CCCCC3)N=C(N)N(C)C2=O)c1,2850.0,356.47,2.0,4.0,2.9875000000000007
active,CHEMBL589614,COCC(=O)Nc1cccc(C2(C3CCCCC3)N=C(N)N(C)C2=O)c1,210.0,358.44200000000006,2.0,5.0,1.8337999999999999
min effect,CHEMBL594656,COCCC(=O)Nc1cccc(C2(C3CCCCC3)N=C(N)N(C)C2=O)c1,7860.0,372.4690000000001,2.0,5.0,2.2238999999999995
min effect,CHEMBL594896,COc1cccc(C(=O)Nc2cccc(C3(C4CCCCC4)N=C(N)N(C)C3=O)c2)c1,1360.0,420.5130000000002,2.0,5.0,3.509800000000001
active,CHEMBL605518,CN1C(=O)C(c2cccc(NC(=O)c3ccc4c(c3)OCO4)c2)(C2CCCCC2)N=C1N,380.0,434.4960000000003,2.0,6.0,3.2299000000000007
min effect,CHEMBL593979,CCCCCCN1C(=O)C(c2ccccc2)(C2CCCCC2)N=C1N,1390.0,341.4990000000002,1.0,3.0,4.1994000000000025
active,CHEMBL607527,NC1=NC(c2ccccc2)(C2CCCCC2)C(=O)N1CCCCCC(=O)O,950.0,371.48100000000017,2.0,4.0,3.2641000000000018
active,CHEMBL589891,NC1=NC(c2ccccc2)(C2CCCCC2)C(=O)N1C[C@H]1CC[C@H](C(=O)O)CC1,390.0,397.5190000000002,2.0,4.0,3.510100000000002
min effect,CHEMBL585215,NC1=NC(c2ccccc2)(C2CCCCC2)C(=O)N1Cc1ccccc1,1240.0,347.462,1.0,3.0,3.819300000000003
min effect,CHEMBL592533,NC1=NC(c2ccccc2)(C2CCCCC2)C(=O)N1Cc1cc(F)cc(F)c1,1080.0,383.442,1.0,3.0,4.097500000000004
min effect,CHEMBL592534,NC1=NC(c2ccccc2)(C2CCCCC2)C(=O)N1CC1CCCO1,1040.0,341.4550000000001,1.0,4.0,2.7981000000000016
active,CHEMBL595066,COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNC1(c3cccc(C(C)C)c3)CC1)Cc1cccc(c1)OCCCCN2,17.0,571.7620000000001,4.0,6.0,5.521800000000005
active,CHEMBL595303,COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNC1(c3cccc(C(C)(C)C)c3)CCCC1)Cc1cccc(c1)OCCCCN2,50.0,613.8430000000002,4.0,6.0,6.476100000000007
active,CHEMBL595246,COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNC1(c3cccc(C(C)(C)C)c3)CCC1)Cc1cccc(c1)OCCCCN2,67.0,599.8160000000001,4.0,6.0,6.0860000000000065
active,CHEMBL595185,COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNC(C)(C)c1cccc(C(C)C)c1)Cc1cccc(c1)OCCCCN2,50.0,573.778,4.0,6.0,5.767800000000006
active,CHEMBL595136,CCCS(=O)(=O)N(C)c1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNC1(c3cccc(C(C)C)c3)CC1)Cc1cccc(c1)OCCCCN2,2.0,662.897,4.0,7.0,5.551400000000005
active,CHEMBL589368,CC(C)c1cccc(CNC[C@@H](O)[C@@H]2Cc3cccc(c3)OCCCCNc3cccc(c3)C(=O)N2)c1,292.0,501.6710000000003,4.0,5.0,4.886300000000004
active,CHEMBL589369,Cc1cc2cc(n1)OCCCCOc1cccc(c1)C[C@@H]([C@H](O)CNCc1cccc(C(C)C)c1)NC2=O,42.0,517.6700000000002,3.0,6.0,4.556620000000003
active,CHEMBL601681,Cc1cc2cc(n1)NCCCCOc1cccc(c1)C[C@@H]([C@H](O)CNCc1cccc(C(C)C)c1)NC2=O,27.0,516.6860000000003,4.0,6.0,4.589720000000003
active,CHEMBL591546,COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNCc1cccc(C(C)C)c1)Cc1cccc(c1)OCCCCN2,60.0,545.7240000000002,4.0,6.0,5.032700000000005
active,CHEMBL595267,COCc1cc2cc(n1)OCCCCOc1cccc(c1)C[C@@H]([C@H](O)CNC1(c3cccc(C(C)C)c3)CC1)NC2=O,9.0,573.734,3.0,7.0,4.883700000000005
active,CHEMBL600326,Cc1cc2cc(n1)OCCCCOc1cccc(c1)C[C@@H]([C@H](O)CNC1(c3cccc(C(C)C)c3)CC1)NC2=O,17.0,543.7080000000003,3.0,6.0,5.045720000000004
inactive,CHEMBL609295,COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNC(c1cccc(C(C)(C)C)c1)C(F)(F)F)Cc1cccc(c1)OCCCCN2,10000.0,627.7479999999999,4.0,6.0,6.310200000000006
active,CHEMBL594709,COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNC(CF)c1cccc(C(C)(C)C)c1)Cc1cccc(c1)OCCCCN2,177.0,591.768,4.0,6.0,5.717400000000006
active,CHEMBL591547,Cc1cc2cc(n1)OCCCCOc1cccc(c1)C[C@@H]([C@H](O)CNC(C)c1cccc(C(C)C)c1)NC2=O,83.0,531.6970000000002,3.0,6.0,5.117620000000004
active,CHEMBL594903,COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNC(COC)c1cccc(C(C)(C)C)c1)Cc1cccc(c1)OCCCCN2,668.0,603.8040000000001,4.0,7.0,5.394300000000005
active,CHEMBL595016,CCCS(=O)(=O)N(C)c1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNCc1cccc(C(C)C)c1)Cc1cccc(c1)OCCCCN2,1.0,636.859,4.0,7.0,5.062300000000004
active,CHEMBL595065,CC(C)c1cccc(CNC[C@@H](O)[C@@H]2Cc3cccc(c3)OCCCCNc3cc(cc(N4C=COC4)c3)C(=O)N2)c1,19.0,570.7340000000004,4.0,7.0,5.151600000000005
active,CHEMBL595100,CC(C)c1cccc(C2(NC[C@@H](O)[C@@H]3Cc4cccc(c4)OCCCCOc4cc(cc(N5CCCC5=O)c4)C(=O)N3)CC2)c1,1.0,611.7830000000002,3.0,6.0,5.469100000000005
active,CHEMBL589369,Cc1cc2cc(n1)OCCCCOc1cccc(c1)C[C@@H]([C@H](O)CNCc1cccc(C(C)C)c1)NC2=O,55.0,517.6700000000002,3.0,6.0,4.556620000000003
active,CHEMBL600326,Cc1cc2cc(n1)OCCCCOc1cccc(c1)C[C@@H]([C@H](O)CNC1(c3cccc(C(C)C)c3)CC1)NC2=O,70.0,543.7080000000003,3.0,6.0,5.045720000000004
active,CHEMBL595267,COCc1cc2cc(n1)OCCCCOc1cccc(c1)C[C@@H]([C@H](O)CNC1(c3cccc(C(C)C)c3)CC1)NC2=O,47.0,573.734,3.0,7.0,4.883700000000005
active,CHEMBL595066,COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNC1(c3cccc(C(C)C)c3)CC1)Cc1cccc(c1)OCCCCN2,20.0,571.7620000000001,4.0,6.0,5.521800000000005
