"","naAromAtom","nAtom","nN","nCl","BCUTw.1h","BCUTp.1l","BCUTp.1h","nBondsD","SpMax1_Bhs","SpMax2_Bhs","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C3SP3","C4SP3","SCH.7","SC.3","VC.3","SPC.4","MIC0","nAtomLAC","piPC6","R_TpiPCTPC","n5Ring","n6Ring","nF9Ring","nF10Ring","nHeteroRing","n6HeteroRing","VE3_D","VR1_D","pIC50"
"4194",6,49,3,1,34.9688538829232,3.54210328694843,13.8352104340849,2,5.55123682773163,5.04468983808457,0,1,4,2,2,1,1,1.42614952934734,2.68110236176483,1.50380271581008,6.60540106655067,20.935426593364,2,6.09441591309379,3.13978040540541,2,2,1,0,1,0,-12.3073725895405,1339.01301584425,6.86012091359876
"4195",6,59,4,0,15.9969389255501,4.42775792707559,13.9664140191024,3,4.92554782643658,4.886862420954,2,2,3,3,1,2,1,1.52407180023359,2.80067551763388,1.56750352891756,6.78547408674205,14.0300765123222,2,6.38223893980614,4.41174009105517,2,2,1,0,1,0,-3.79827151622636,396.074511178387,7.95860731484177
"4196",6,67,3,0,15.9979480301501,4.74675068208388,14.0062893944582,3,4.89198557720728,4.85744661396401,2,2,3,3,3,2,1,1.52407180023359,3.08935065222869,1.77879802107862,7.11880742007539,13.5403694972575,2,6.39901082141997,4.23234171671672,2,2,1,0,1,0,-11.3949547671894,788.825560849317,8.34678748622465
"4197",6,70,3,0,15.9979490474384,4.54862057595552,14.0208207793867,3,4.89398821529779,4.88301922185093,2,2,3,3,3,2,1,1.5303147133278,3.08935065222869,1.77879802107862,7.17392252337375,13.350502894268,3,6.40233170450514,4.18629325476429,2,2,1,0,1,0,-5.09500351062695,538.466030344408,7.67778070526608
"4198",11,63,5,0,31.9731991923058,4.90846879631457,14.2039224254456,2,4.87226468696866,4.05593635386792,2,3,3,3,2,2,1,1.65551765599939,2.88522650699676,1.95168064164718,7.30060246593806,16.4658249942337,2,6.4765876735216,4.45956478905888,3,2,1,0,2,0,-13.578140011,1110.65980674804,8.0268721464003
"4199",6,45,3,1,34.9688536700203,4.88562023438164,12.7416267045898,1,4.13548932609081,3.87797067430535,0,0,4,2,0,0,1,1.32795471807329,2.27396000530818,1.38008286676317,5.93810609326973,17.9833214750836,0,5.9305859868019,3.11510077361564,2,2,1,0,1,0,-3.51680336499469,245.702978683009,6.67366413907125
"4200",6,46,4,0,15.9959277503061,4.44305300864438,12.7083022517863,1,4.71573096518228,4.08682928773684,0,0,3,3,0,0,1,1.30802585876178,2.18940901594529,1.27443396359189,6.03362812409823,14.305443699882,0,6.10311772238883,3.63912442835366,2,2,1,0,1,0,-5.16488672465171,397.807581425131,6.80410034759077
"4201",12,64,4,0,15.9959318169657,4.91239821623846,14.4554018695359,2,4.86974036879974,4.14836830102429,0,5,3,4,3,0,2,1.55245800767632,2.91454908559079,1.88563949151761,7.72459747833306,12.8392427994372,0,6.61309055110247,5.75079623800959,2,3,1,0,2,1,-4.05631154248887,413.24823730437,7.63827216398241
"4202",6,57,4,0,15.9969373530375,4.88975723576976,13.8148986678205,3,4.9931092263727,4.98709376061263,0,2,4,2,1,1,1,1.59520858706733,2.57899795349821,1.50738801551526,7.63751912844468,14.211532953212,0,6.2531073975728,3.51082114361702,3,2,1,0,2,0,-5.91616629412691,459.823099054017,6.95860731484178
"4203",6,61,2,0,19.0012629882103,3.50529361501683,14.091526807993,2,5.75122972477032,5.04306030658827,0,2,4,2,4,0,2,1.40249915347429,3.74896325371791,1.62184287995581,7.00728065635707,17.3278740241391,2,6.08449941307517,2.73000536768653,2,2,1,0,1,0,-3.44969125125495,395.205671235908,7.11350927482752
"4204",6,56,3,0,19.0020492006565,3.07360510253906,13.7688359652205,2,5.78947014869534,5.35317182013477,0,1,4,2,4,1,1,1.41246358313004,3.7489632537179,1.50306102073809,7.17309188378223,18.8433754277237,2,6.18311743133082,3.23587975923852,2,2,1,0,1,0,-3.52499539311109,531.921752175276,7.60205999132796
"4205",6,56,3,0,19.00383362542,3.07351623535156,13.7574611838006,2,5.82274303224179,5.82240874566967,0,1,4,2,4,1,1,1.40249915347429,5.30962342549773,1.68158136477873,7.75728065635706,20.243918613486,2,6.20354715106277,3.15258497664764,2,2,1,0,1,0,-3.98523086404714,519.364178426437,7.46852108295774
"4206",6,57,3,0,18.999412760317,3.02642150878906,13.3568823424807,2,5.62045072354579,5.09661189110857,0,1,4,2,0,3,0,1.55762210302273,2.8570428438758,1.42137921633868,6.91926081600162,16.8043696524565,2,6.15485809401642,3.18769553469852,2,2,1,0,2,0,-9.89201189759387,1764.93976552222,6.82681373158773
"4207",12,55,4,0,18.9994137414167,3.02727032470704,13.4655315485957,2,5.26023646708875,4.8018418882025,0,1,8,4,0,2,0,1.53798024798977,2.9862520319772,1.34940394090899,7.73426669755516,17.6129903769005,0,6.71606497218408,6.76121843281779,2,3,1,0,2,0,-8.79756778940628,587.80832305977,6.75300930075845
"4208",12,63,5,0,15.9959333584435,4.90684123717072,14.0998675179282,2,4.82474701442754,4.04123366188476,2,3,4,4,1,2,1,1.59624058388229,2.59655137240195,1.60202132578198,6.95629809113911,13.3955866186788,2,6.48777914333605,4.53953631875882,2,3,1,0,2,1,-13.7653998460418,1196.37436765729,5.38939306253454
"4209",6,62,3,0,19.0012626147944,3.49549220221124,13.8010236817093,2,5.71219676280974,5.01244532329153,0,1,4,2,5,2,1,1.40249915347429,4.15721154418177,1.91130931120196,7.29595579095188,17.237906203181,3,6.19440539110467,3.15445383182544,2,2,1,0,1,0,-4.18419888435093,382.833108095544,7.93181413825384
"4210",12,49,3,0,15.9949217094436,6.12944742850836,13.7692564416248,2,4.79172143775113,3.9845477363091,0,1,8,4,0,1,1,1.39522865594423,2.16975545104947,1.37551876735844,6.68426945189497,12.0281548657345,0,6.17482722841035,3.85681227050184,2,2,1,0,1,0,-3.97294064722446,256.527295888767,5.09409623378338
