,bioactivity_class,molecule_chembl_id,canonical_smiles,Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,OWPC,pIC50
5673,min effect,CHEMBL3670357,NC1=NC(CF)(c2ccnc(NC(=O)c3ccc(Cl)cn3)c2)COC1,363.78000000000014,2.0,6.0,1.9345,5.09151498112135
5674,inactive,CHEMBL3670358,Cc1cc(C(N)=S)cnc1C(=O)Nc1cc(C2(CF)COCC(N)=N2)ccn1,402.45500000000015,3.0,7.0,1.2237199999999997,5.0
5675,active,CHEMBL3261068,Cc1cc(C#N)cnc1C(=O)Nc1cc([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)c(F)cn1,450.39600000000013,2.0,7.0,2.9717,7.086186147616282
5676,min effect,CHEMBL3670359,Cc1cc(C#N)cnc1C(=O)Nc1cc([C@@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)c(F)cn1,450.39600000000013,2.0,7.0,2.9717,5.119186407719209
5677,active,CHEMBL3670360,NC1=NC(CF)(c2cc(NC(=O)c3ccc(Br)cn3)cnc2Cl)COC1,442.67600000000016,2.0,6.0,2.6970000000000014,6.853871964321761
5678,active,CHEMBL3670361,C[C@@]1(c2cccc(NC(=O)c3ncc(C#N)cc3N)n2)CO[C@@](C)(C(F)(F)F)C(N)=N1,433.3940000000002,3.0,8.0,2.1063800000000006,7.366531544420413
5679,active,CHEMBL3670362,C[C@@]1(c2cccc(NC(=O)c3ncc(C#N)cc3Cl)n2)CO[C@@](C)(C(F)(F)F)C(N)=N1,452.8240000000001,2.0,7.0,3.1775800000000007,8.0
5680,active,CHEMBL3670363,C[C@@]1(c2cccc(NC(=O)c3ncc(Br)cc3Cl)n2)CO[C@@](C)(C(F)(F)F)C(N)=N1,506.71000000000015,2.0,6.0,4.068400000000001,7.886056647693162
5681,min effect,CHEMBL3670364,C[C@@]1(c2cccc(NC(=O)c3ncc(OCC(F)(F)F)nc3N)n2)CO[C@@](C)(C(F)(F)F)C(N)=N1,507.39500000000015,3.0,9.0,2.5708,5.920818753952374
5682,active,CHEMBL3670365,C[C@@]1(c2nc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,470.81400000000014,2.0,7.0,3.3166800000000016,8.221848749616356
5683,active,CHEMBL3670366,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CO[C@@](C)(C(F)(F)F)C(N)=N3)n2)c(C)c1,455.41200000000015,2.0,7.0,3.108620000000001,7.031517051446063
5684,active,CHEMBL3670367,C[C@@]1(c2nc(NC(=O)c3ncc(OCC(F)(F)F)nc3N)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,525.3850000000001,3.0,9.0,2.7099,6.3979400086720375
5685,active,CHEMBL3670368,C[C@@]1(c2nc(NC(=O)c3ncc(C#N)cc3N)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,451.3840000000001,3.0,8.0,2.24548,7.958607314841775
5686,min effect,CHEMBL3670369,C[C@]1(c2nc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,470.81400000000014,2.0,7.0,3.3166800000000016,5.958607314841775
5687,active,CHEMBL3670370,Cc1cc(OC(F)F)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)n1,491.3920000000003,2.0,7.0,3.7014200000000015,7.585026652029182
5688,active,CHEMBL3670371,C[C@@]1(c2nc(NC(=O)c3ncc(OC(F)F)cc3Cl)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,511.8100000000002,2.0,7.0,4.046400000000001,7.602059991327962
5689,active,CHEMBL3670372,C[C@@]1(c2nc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,480.24900000000014,2.0,6.0,4.0984000000000025,8.154901959985743
5690,active,CHEMBL3670373,Cc1cc(OCF)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)n1,473.40200000000016,2.0,7.0,3.405820000000001,7.346787486224656
5691,active,CHEMBL3670374,Cc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CO[C@@](C)(C(F)(F)F)C(N)=N3)n2)cn1,426.37400000000014,2.0,7.0,2.49502,6.086186147616283
5692,active,CHEMBL3670375,C[C@@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)cc3Cl)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,513.8010000000002,2.0,6.0,4.463800000000003,8.154901959985743
