naAromAtom,nAtom,nN,nO,nS,nF,nCl,BCUTw-1h,BCUTp-1l,BCUTp-1h,nBondsD,SpMax1_Bhs,SpMax2_Bhs,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C3SP3,C4SP3,SCH-7,SC-3,VC-3,SPC-4,MIC0,nAtomLAC,piPC6,R_TpiPCTPC,n5Ring,n6Ring,nFRing,nF9Ring,nF10Ring,nFG12Ring,nHeteroRing,n6HeteroRing,VE3_D,VR1_D,pIC50
12,70,3,4,1,0.0,0.0,31.97267856856825,5.766209371977362,11.770357957851024,4.0,5.111343613196642,4.788980479342185,0,1,11,3,1,1,0,0.4481457121765707,3.320593172169863,1.465166465234454,5.542770851000025,16.166248304323823,4,5.950479778924147,4.346671195652174,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.420810802574591,840.4096066191702,6.136677139879542
12,74,3,5,1,0.0,0.0,31.97207288580792,5.761104764252522,11.808688276128125,4.0,5.183408057277742,4.8708626154610615,0,1,10,3,1,1,0,0.4529116253780655,3.4381283047692084,1.4888712194324685,6.516660283150114,16.379704384121002,4,5.9822030414602505,3.7067673644148433,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.308109137789299,520.6520667741913,6.744727494896692
12,70,3,4,1,0.0,0.0,31.97267856856825,5.766209371977362,11.770357957851024,4.0,5.111343613196642,4.788980479342185,0,1,11,3,1,1,0,0.4481457121765707,3.320593172169863,1.465166465234454,5.542770851000025,16.166248304323823,4,5.950479778924147,4.346671195652174,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.420810802574591,840.4096066191702,7.455931955649724
12,66,4,5,1,0.0,0.0,31.972072740661677,5.097028565627689,11.725668882478555,4.0,5.071956615438727,4.760344659539587,0,2,9,3,1,0,0,0.3214657696122633,3.3147138087681824,1.336639123344166,6.064396936332847,17.74982825788734,4,5.8973255561941205,3.8394230769230764,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.482207397207874,356.87864928056564,6.008773924307504
12,72,3,4,1,0.0,0.0,31.97267856856825,5.755662423235158,11.749263627692649,3.0,5.181678002919113,4.861768842038486,0,1,9,3,1,1,0,0.4481457121765707,3.320593172169863,1.5242500291325392,5.542770851000023,15.98547287810762,4,5.818040787249639,3.5877038043478264,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.420810802574557,840.4096066191748,6.3767507096020974
12,77,3,5,1,0.0,0.0,31.97207293606684,5.791025876864853,11.820025227695371,4.0,5.196280159481551,4.883976770859339,0,1,10,3,1,1,0,0.3803913347111423,3.4381283047692084,1.4888712194324685,6.516660283150114,16.1216638106313,4,5.9872368730745125,3.646044741697417,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.877486540588442,407.3344680843129,6.346787486224656
18,72,3,4,1,0.0,0.0,31.972678670162075,5.7787231702968125,11.795386980106347,3.0,5.0262748841200855,4.701039786691406,0,1,14,4,1,0,0,0.402463365627516,3.320593172169863,1.4379770140983654,5.778473111395542,15.971254942898769,4,6.015242107018977,4.9603003640776695,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.402361374046432,415.36138056554637,5.334419008982047
18,73,3,4,1,0.0,0.0,31.97207292375527,5.829312102786942,11.896585854093606,4.0,4.948276611005281,4.620757560577667,0,2,14,5,1,0,0,0.3803913347111423,3.4381283047692084,1.4573297680178348,6.516660283150114,15.872292669465187,4,6.158302262211097,5.097079681734316,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.877486540588442,407.3344680843129,5.886056647693162
18,73,3,5,1,0.0,0.0,31.97267873366929,5.793423417216048,11.824795026600391,3.0,5.036287281116464,4.711470748937469,0,1,14,4,1,0,0,0.3803913347111423,3.4381283047692084,1.4592745658695154,6.516660283150117,16.459897567309888,4,6.089328281995433,4.905601360701106,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.877486540588511,407.3344680843123,5.229147988357855
18,71,3,5,1,0.0,0.0,31.972072936321677,5.788750126810914,11.81551308994113,4.0,5.016358715746528,4.704456362141836,0,1,15,4,1,0,0,0.3803913347111423,3.4381283047692084,1.4199724566774992,6.516660283150114,16.631099797198807,4,6.158302262211097,5.097079681734316,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.877486540588442,407.3344680843129,7.008773924307505
18,76,3,5,1,0.0,0.0,31.972678784480237,5.7834041524861695,11.804757069520583,3.0,5.052127321826315,4.727812669587923,0,1,14,4,1,0,0,0.3936345532609665,3.5188379540001153,1.5076380216830734,6.371303704217856,16.199004490752742,4,6.012491914300058,4.303463152985074,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.525776105516947,398.78720716540164,5.259637310505755
18,74,3,5,1,0.0,0.0,31.972072986585665,5.655436407596468,11.795475284586097,4.0,5.0326220105291775,4.717374715786659,0,1,15,4,1,0,0,0.3936345532609665,3.5188379540001136,1.4756280008826443,6.371303704217856,16.361188019950177,4,6.079074703126995,4.498017723880597,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.525776105517046,398.7872071654022,5.853871964321763
12,67,3,5,1,0.0,0.0,31.9720727351122,5.180778626061967,11.736137882549672,4.0,5.090047575119606,4.775628077181966,0,1,10,3,2,0,0,0.3214657696122633,3.3147138087681824,1.3577768706848865,6.0643969363328445,17.048976586337723,4,5.8973255561941205,3.8394230769230764,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.482207397207867,356.87864928056666,5.823908740944319
16,45,4,1,0,0.0,0.0,78.91833747658572,5.508932115568956,11.170168905301653,1.0,4.691461865025691,4.047772744358608,0,1,14,1,4,0,0,0.4677230644698591,1.4937934918116165,0.8393125548293683,3.5974137614717185,22.698619386103715,0,6.2844256297837005,7.427022444544366,0.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,-6.477211712732527,221.1644532875125,5.4559319556497226
16,46,3,1,0,0.0,0.0,78.91833747612417,5.7562047775612735,11.293806003483269,1.0,4.6720166830635135,4.006730350288003,0,1,13,3,4,0,0,0.4569100218034489,1.432625685454192,0.8545506772531944,3.563624283381049,21.717632202008033,0,6.2605370303105925,7.281040654446407,0.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,-13.88525973292162,231.9383270074362,5.999999999999999
12,86,4,4,1,0.0,0.0,31.9726788282554,5.029951340797191,11.757744182122188,4.0,5.106192568577378,4.7835045793487785,0,2,9,3,6,3,0,0.3631151528219255,3.9961218381928254,2.1107458482862347,6.5350984430874375,15.419021758010034,3,5.825446857020558,3.4788286004056794,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0419966521045385,416.02405836766997,7.638272163982406
12,86,4,4,1,0.0,0.0,31.9726788282554,5.029951340797191,11.757744182122188,4.0,5.106192568577378,4.7835045793487785,0,2,9,3,6,3,0,0.3631151528219255,3.9961218381928254,2.1107458482862347,6.5350984430874375,15.419021758010034,3,5.825446857020558,3.4788286004056794,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0419966521045385,416.02405836766997,7.698970004336017
24,91,5,5,1,1.0,0.0,31.97207352786255,4.044667809994139,11.793361721109045,5.0,4.9596135187137405,4.826620848951683,0,3,19,5,4,0,0,0.3936345532609665,4.2789176093859576,1.7380496913987205,8.192480147121511,17.398059736484104,3,6.239300711012564,4.088235294117647,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.059899908124546,621.2881320773032,6.136082623042139
