Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,OWPC
792.83,10.0,12.0,-1.1616999999999909
587.743,4.0,7.0,1.686100000000003
449.52900000000017,3.0,6.0,0.7839999999999998
612.8810000000002,3.0,5.0,5.003100000000004
556.7730000000001,3.0,5.0,3.442700000000001
570.8000000000001,3.0,5.0,3.8328000000000015
587.743,4.0,7.0,1.686100000000003
447.5130000000002,3.0,6.0,0.5379999999999998
612.8810000000002,3.0,5.0,5.003100000000004
556.7730000000001,3.0,5.0,3.442700000000001
318.38000000000005,3.0,3.0,2.8317700000000015
468.9850000000003,3.0,4.0,4.077600000000002
434.58400000000034,3.0,3.0,3.4362000000000026
486.9590000000001,3.0,5.0,5.480070000000005
376.5040000000003,2.0,2.0,3.422900000000002
551.6440000000002,2.0,7.0,4.179100000000004
551.6440000000002,2.0,7.0,4.179100000000004
